"","game.id","outcome","abbrvs","conference","name","pts","rank"
"157",79,"l","WKU","Sun Belt","Western Kentucky",0,26
"158",79,"w","BAMA","Southeastern","Alabama",35,1
"159",80,"l","OKST","Big 12","Oklahoma State",38,18
"160",80,"w","ARI","Pac-12","Arizona",59,26
"161",81,"l","IL","Big Ten","Illinois",14,26
"162",81,"w","ASU","Pac-12","Arizona State",45,26
"163",82,"l","MEM","Conference USA","Memphis",28,26
"164",82,"w","ARKST","Sun Belt","Arkansas State",33,26
"165",83,"l","MAINE","FCS","Maine",3,26
"166",83,"w","BC","Atlantic Coast","Boston College",34,26
"167",84,"l","ID","Western Athletic","Idaho",13,26
"168",84,"w","BG","Mid-American","Bowling Green State",21,26
"169",85,"l","WEBST","FCS","Weber State",13,26
"170",85,"w","BYU","Independent","Brigham Young",45,26
"171",86,"l","MORG","FCS","Morgan State",34,26
"172",86,"w","BUF","Mid-American","Buffalo",56,26
"173",87,"l","SUTAH","FCS","Southern Utah",31,26
"174",87,"w","CAL","Pac-12","California",50,26
"175",88,"l","BALL","Mid-American","Ball State",27,26
"176",88,"w","CLEM","Atlantic Coast","Clemson",52,12
"177",89,"l","TAMU","Southeastern","Texas A&M",17,26
"178",89,"w","UF","Southeastern","Florida",20,24
"179",90,"l","AKRON","Mid-American","Akron",38,26
"180",90,"w","FIU","Sun Belt","Florida International",41,26
"181",91,"l","SAVST","FCS","Savannah State",0,26
"182",91,"w","FSU","Atlantic Coast","Florida State",55,6
"183",92,"l","MIZZ","Southeastern","Missouri",20,26
"184",92,"w","UGA","Southeastern","Georgia",41,7
"185",93,"l","PRESB","FCS","Presbyterian",3,26
"186",93,"w","GT","Atlantic Coast","Georgia Tech",59,26
"187",94,"l","EMU","Mid-American","Eastern Michigan",14,26
"188",94,"w","ILST","FCS","Illinois State",31,26
"189",95,"l","UMASS","Mid-American","Massachusetts",6,26
"190",95,"w","IND","Big Ten","Indiana",45,26
"191",96,"l","IOWA","Big Ten","Iowa",6,26
"192",96,"w","ISU","Big 12","Iowa State",9,26
"193",97,"l","MIA","Atlantic Coast","Miami FL",13,26
"194",97,"w","KSU","Big 12","Kansas State",52,21
"195",98,"l","KENT","Mid-American","Kent State",14,26
"196",98,"w","UK","Southeastern","Kentucky",47,26
"197",99,"l","WASH","Pac-12","Washington",3,26
"198",99,"w","LSU","Southeastern","Louisiana State",41,3
"199",100,"l","HOU","Conference USA","Houston",49,26
"200",100,"w","LTU","Western Athletic","Louisiana Tech",56,26
"201",101,"l","TROY","Sun Belt","Troy",24,26
"202",101,"w","LA-L","Sun Belt","Louisiana-Lafayette",37,26
"203",102,"l","ARK","Southeastern","Arkansas",31,8
"204",102,"w","LA-M","Sun Belt","Louisiana-Monroe",34,26
"205",103,"l","MIZZST","FCS","Missouri State",7,26
"206",103,"w","LOU","Big East","Louisville",35,23
"207",104,"l","WCU","FCS","Western Carolina",24,26
"208",104,"w","MAR ","Conference USA","Marshall",52,26
"209",105,"l","TEM","Big East","Temple",27,26
"210",105,"w","MARY","Atlantic Coast","Maryland",36,26
"211",106,"l","SILLN","FCS","Southern Illinois",14,26
"212",106,"w","MIA-O","Mid-American","Miami OH",30,26
"213",107,"l","AF","Mountain West","Air Force",25,26
"214",107,"w","MICH","Big Ten","Michigan",31,19
"215",108,"l","CMU","Mid-American","Central Michigan",7,26
"216",108,"w","MSU","Big Ten","Michigan State",41,11
"217",109,"l","FAU","Sun Belt","Florida Atlantic",17,26
"218",109,"w","MTSU","Sun Belt","Middle Tennessee State",31,26
"219",110,"l","NHAMP","FCS","New Hampshire",7,26
"220",110,"w","MINN","Big Ten","Minnesota",44,26
"221",111,"l","UT-EP","Conference USA","Texas-El Paso",10,26
"222",111,"w","OLE","Southeastern","Mississippi",28,26
