"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"130","2","Unranked","South Alabama","9","","Unranked","Nicholls State","3"
"131","2","9","South Carolina","48","","Unranked","East Carolina","10"
"132","2","Unranked","South Florida","32","@","Unranked","Nevada","31"
"133","2","2","Southern California","42","@","Unranked","Syracuse","29"
"134","2","Unranked","Southern Methodist","52","","Unranked","Stephen F. Austin","0"
"135","2","25","Stanford","50","","Unranked","Duke","13"
"136","2","Unranked","Tennessee","51","","Unranked","Georgia State","13"
"137","2","17","Texas","45","","Unranked","New Mexico","0"
"138","2","20","Texas Christian","56","","Unranked","Grambling State","0"
"139","2","Unranked","Texas Tech","58","@","Unranked","Texas State","10"
"140","2","Unranked","Texas-San Antonio","27","","Unranked","Texas A&M-Commerce","16"
"141","2","Unranked","Toledo","34","@","Unranked","Wyoming","31"
"142","2","Unranked","Tulsa","45","","Unranked","Tulane","10"
"143","2","Unranked","UCLA","36","","16","Nebraska","30"
"144","2","Unranked","Virginia","17","","Unranked","Penn State","16"
"145","2","15","Virginia Tech","42","","Unranked","Austin Peay","7"
"146","2","Unranked","Wake Forest","28","","Unranked","North Carolina","27"
"147","2","Unranked","Washington State","24","","Unranked","Eastern Washington","20"
"148","2","Unranked","Western Michigan","52","","Unranked","Eastern Illinois","21"
"149","3","Unranked","Rutgers","23","@","Unranked","South Florida","13"
"150","3","Unranked","Washington State","35","@","Unranked","Nevada-Las Vegas","27"
"151","3","Unranked","Akron","66","","Unranked","Morgan State","6"
"152","3","1","Alabama","52","@","Unranked","Arkansas","0"
"153","3","24","Arizona","56","","Unranked","South Carolina State","0"
"154","3","Unranked","Auburn","31","","Unranked","Louisiana-Monroe","28"
"155","3","Unranked","Ball State","41","@","Unranked","Indiana","39"
"156","3","Unranked","Baylor","48","","Unranked","Sam Houston State","23"
"157","3","Unranked","Boise State","39","","Unranked","Miami OH","12"
"158","3","Unranked","Cal Poly","24","@","Unranked","Wyoming","22"
"159","3","Unranked","Central Florida","33","","Unranked","Florida International","20"
"160","3","Unranked","Cincinnati","23","","Unranked","Delaware State","7"
"161","3","11","Clemson","41","","Unranked","Furman","7"
"162","3","Unranked","Connecticut","24","@","Unranked","Maryland","21"
"163","3","Unranked","Duke","54","","Unranked","North Carolina Central","17"
"164","3","Unranked","East Carolina","24","@","Unranked","Southern Mississippi","14"
"165","3","18","Florida","37","@","23","Tennessee","20"
"166","3","5","Florida State","52","","Unranked","Wake Forest","0"
"167","3","Unranked","Fresno State","69","","Unranked","Colorado","14"
"168","3","7","Georgia","56","","Unranked","Florida Atlantic","20"
"169","3","Unranked","Georgia Tech","56","","Unranked","Virginia","20"
"170","3","Unranked","Hawaii","54","","Unranked","Lamar","2"
"171","3","Unranked","Illinois","44","","Unranked","Charleston Southern","0"
"172","3","Unranked","Iowa","27","","Unranked","Northern Iowa","16"
"173","3","Unranked","Iowa State","37","","Unranked","Western Illinois","3"
"174","3","15","Kansas State","35","","Unranked","North Texas","21"
"175","3","3","Louisiana State","63","","Unranked","Idaho","14"
"176","3","Unranked","Louisiana Tech","56","","Unranked","Rice","37"
"177","3","19","Louisville","39","","Unranked","North Carolina","34"
"178","3","Unranked","Miami FL","38","","Unranked","Bethune-Cookman","10"
"179","3","17","Michigan","63","","Unranked","Massachusetts","13"
"180","3","Unranked","Middle Tennessee State","48","@","Unranked","Memphis","30"
"181","3","Unranked","Minnesota","28","","Unranked","Western Michigan","23"
"182","3","Unranked","Mississippi State","30","@","Unranked","Troy","24"
"183","3","Unranked","Missouri","24","","Unranked","Arizona State","20"
"184","3","Unranked","Nebraska","42","","Unranked","Arkansas State","13"
"185","3","Unranked","Nevada","45","","Unranked","Northwestern State","34"
"186","3","Unranked","North Carolina State","31","","Unranked","South Alabama","7"
"187","3","Unranked","Northern Illinois","41","@","Unranked","Army","40"
"188","3","Unranked","Northwestern","22","","Unranked","Boston College","13"
"189","3","20","Notre Dame","20","@","10","Michigan State","3"
"190","3","Unranked","Ohio","27","@","Unranked","Marshall","24"
"191","3","12","Ohio State","35","","Unranked","California","28"
"192","3","Unranked","Oklahoma State","65","","Unranked","Louisiana-Lafayette","24"
"193","3","4","Oregon","63","","Unranked","Tennessee Tech","14"
"194","3","Unranked","Penn State","34","","Unranked","Navy","7"
"195","3","Unranked","Pittsburgh","35","","13","Virginia Tech","17"
"196","3","Unranked","Purdue","54","","Unranked","Eastern Michigan","16"
"197","3","Unranked","San Diego State","49","","Unranked","North Dakota","41"
"198","3","Unranked","San Jose State","40","","Unranked","Colorado State","20"
"199","3","8","South Carolina","49","","Unranked","Alabama-Birmingham","6"
"200","3","21","Stanford","21","","2","Southern California","14"
"201","3","Unranked","Syracuse","28","","Unranked","Stony Brook","17"
"202","3","14","Texas","66","@","Unranked","Mississippi","31"
"203","3","Unranked","Texas A&M","48","@","Unranked","Southern Methodist","3"
"204","3","16","Texas Christian","20","@","Unranked","Kansas","6"
"205","3","Unranked","Texas Tech","49","","Unranked","New Mexico","14"
"206","3","Unranked","Texas-El Paso","41","","Unranked","New Mexico State","28"
"207","3","Unranked","Texas-San Antonio","38","@","Unranked","Georgia State","14"
"208","3","Unranked","Toledo","27","","Unranked","Bowling Green State","15"
"209","3","Unranked","Tulsa","66","","Unranked","Nicholls State","16"
"210","3","22","UCLA","37","","Unranked","Houston","6"
"211","3","Unranked","Utah","24","","25","Brigham Young","21"
"212","3","Unranked","Vanderbilt","58","","Unranked","Presbyterian","0"
"213","3","Unranked","Washington","52","","Unranked","Portland State","13"
"214","3","9","West Virginia","42","","Unranked","James Madison","12"
"215","3","Unranked","Western Kentucky","32","@","Unranked","Kentucky","31"
"216","3","Unranked","Wisconsin","16","","Unranked","Utah State","14"
"217","4","Unranked","Kent State","23","@","Unranked","Buffalo","7"
"218","4","24","Boise State","7","","Unranked","Brigham Young","6"
"219","4","Unranked","Baylor","47","@","Unranked","Louisiana-Monroe","42"
"220","4","1","Alabama","40","","Unranked","Florida Atlantic","7"
"221","4","Unranked","Arizona State","37","","Unranked","Utah","7"
"222","4","Unranked","Arkansas State","56","","Unranked","Alcorn State","0"
"223","4","Unranked","Ball State","31","","Unranked","South Florida","27"
"224","4","Unranked","Central Michigan","32","@","Unranked","Iowa","31"
"225","4","Unranked","Colorado","35","@","Unranked","Washington State","34"
"226","4","Unranked","Duke","38","","Unranked","Memphis","14"
"227","4","14","Florida","38","","Unranked","Kentucky","0"
"228","4","4","Florida State","49","","10","Clemson","37"
"229","4","5","Georgia","48","","Unranked","Vanderbilt","3"
"230","4","15","Kansas State","24","@","6","Oklahoma","19"
"231","4","2","Louisiana State","12","@","Unranked","Auburn","10"
"232","4","Unranked","Louisiana Tech","52","@","Unranked","Illinois","24"
"233","4","20","Louisville","28","@","Unranked","Florida International","21"
"234","4","Unranked","Marshall","54","@","Unranked","Rice","51"
"235","4","Unranked","Miami FL","42","@","Unranked","Georgia Tech","36"
"236","4","Unranked","Miami OH","27","","Unranked","Massachusetts","16"
"237","4","21","Michigan State","23","","Unranked","Eastern Michigan","7"
"238","4","Unranked","Minnesota","17","","Unranked","Syracuse","10"
"239","4","Unranked","Mississippi","39","","Unranked","Tulane","0"
"240","4","23","Mississippi State","30","","Unranked","South Alabama","10"
"241","4","Unranked","Navy","41","","Unranked","Virginia Military Institute","3"
"242","4","25","Nebraska","73","","Unranked","Idaho State","7"
"243","4","Unranked","Nevada","69","@","Unranked","Hawaii","24"
"244","4","Unranked","Nevada-Las Vegas","38","","Unranked","Air Force","35"
"245","4","Unranked","New Mexico","27","@","Unranked","New Mexico State","14"
"246","4","Unranked","North Carolina","27","","Unranked","East Carolina","6"
