"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"354",83,79,164,2,"Atlantic Coast","BC",26,"Boston College",34,"",3,"Maine",26,"MAINE","FCS"
"260",84,80,129,2,"Mid-American","BG",26,"Bowling Green State",21,"",13,"Idaho",26,"ID","Western Athletic"
"801",85,3,144,2,"Independent","BYU",26,"Brigham Young",45,"",13,"Weber State",26,"WEBST","FCS"
"445",86,81,165,2,"Mid-American","BUF",26,"Buffalo",56,"",34,"Morgan State",26,"MORG","FCS"
"650",87,82,137,2,"Pac-12","CAL",26,"California",50,"",31,"Southern Utah",26,"SUTAH","FCS"
"75",88,25,2,2,"Atlantic Coast","CLEM",12,"Clemson",52,"",27,"Ball State",26,"BALL","Mid-American"
"681",89,29,118,2,"Southeastern","UF",24,"Florida",20,"@",17,"Texas A&M",26,"TAMU","Southeastern"
"14",90,83,110,2,"Sun Belt","FIU",26,"Florida International",41,"",38,"Akron",26,"AKRON","Mid-American"
"592",91,30,156,2,"Atlantic Coast","FSU",6,"Florida State",55,"",0,"Savannah State",26,"SAVST","FCS"
"437",92,32,45,2,"Southeastern","UGA",7,"Georgia",41,"@",20,"Missouri",26,"MIZZ","Southeastern"
"562",93,84,166,2,"Atlantic Coast","GT",26,"Georgia Tech",59,"",3,"Presbyterian",26,"PRESB","FCS"
"189",94,85,132,2,"FCS","ILST",26,"Illinois State",31,"@",14,"Eastern Michigan",26,"EMU","Mid-American"
"373",95,34,133,2,"Big Ten","IND",26,"Indiana",45,"@",6,"Massachusetts",26,"UMASS","Mid-American"
"293",96,36,35,2,"Big 12","ISU",26,"Iowa State",9,"@",6,"Iowa",26,"IOWA","Big Ten"
"390",97,38,42,2,"Big 12","KSU",21,"Kansas State",52,"",13,"Miami FL",26,"MIA","Atlantic Coast"
"322",98,86,8,2,"Southeastern","UK",26,"Kentucky",47,"",14,"Kent State",26,"KENT","Mid-American"
"790",99,39,69,2,"Southeastern","LSU",3,"Louisiana State",41,"",3,"Washington",26,"WASH","Pac-12"
"254",100,87,125,2,"Western Athletic","LTU",26,"Louisiana Tech",56,"@",49,"Houston",26,"HOU","Conference USA"
"727",101,40,66,2,"Sun Belt","LA-L",26,"Louisiana-Lafayette",37,"@",24,"Troy",26,"TROY","Sun Belt"
"47",102,88,24,2,"Sun Belt","LA-M",26,"Louisiana-Monroe",34,"@",31,"Arkansas",8,"ARK","Southeastern"
"443",103,75,147,2,"Big East","LOU",23,"Louisville",35,"",7,"Missouri State",26,"MIZZST","FCS"
"808",104,89,167,2,"Conference USA","MAR ",26,"Marshall",52,"",24,"Western Carolina",26,"WCU","FCS"
"666",105,41,19,2,"Atlantic Coast","MARY",26,"Maryland",36,"@",27,"Temple",26,"TEM","Big East"
"630",106,90,168,2,"Mid-American","MIA-O",26,"Miami OH",30,"",14,"Southern Illinois",26,"SILLN","FCS"
"3",107,91,21,2,"Big Ten","MICH",19,"Michigan",31,"",25,"Air Force",26,"AF","Mountain West"
"132",108,17,5,2,"Big Ten","MSU",11,"Michigan State",41,"@",7,"Central Michigan",26,"CMU","Mid-American"
"201",109,92,16,2,"Sun Belt","MTSU",26,"Middle Tennessee State",31,"",17,"Florida Atlantic",26,"FAU","Sun Belt"
"474",110,10,169,2,"Big Ten","MINN",26,"Minnesota",44,"",7,"New Hampshire",26,"NHAMP","FCS"
"707",111,43,119,2,"Southeastern","OLE",26,"Mississippi",28,"",10,"Texas-El Paso",26,"UT-EP","Conference USA"
"63",112,44,111,2,"Southeastern","MISS ST",26,"Mississippi State",28,"",10,"Auburn",26,"AUB","Southeastern"
"163",113,93,6,2,"Atlantic Coast","NCST",26,"North Carolina State",10,"@",7,"Connecticut",26,"UCONN","Big East"
"161",114,94,26,2,"FCS","NDKST",26,"North Dakota State",22,"@",7,"Colorado State",26,"COLS","Mountain West"
"690",115,95,170,2,"Sun Belt","NTEX",26,"North Texas",34,"",7,"Texas Southern",26,"TEXSTH","FCS"
"466",116,96,123,2,"FCS","NOAZ",26,"Northern Arizona",17,"@",14,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"676",117,97,61,2,"Mid-American","NIU",26,"Northern Illinois",35,"",7,"Tennessee-Martin",26,"TNMT","FCS"
"758",118,50,120,2,"Big Ten","NU",26,"Northwestern",23,"",13,"Vanderbilt",26,"VAN","Southeastern"
"569",119,51,57,2,"Independent","ND",22,"Notre Dame",20,"",17,"Purdue",26,"PUR","Big Ten"
"486",120,52,11,2,"Mid-American","OHIO",26,"Ohio",51,"",24,"New Mexico State",26,"NMSU","Western Athletic"
"125",121,53,4,2,"Big Ten","OSU",14,"Ohio State",31,"",16,"Central Florida",26,"UCF","Conference USA"
"199",122,54,171,2,"Big 12","OU",5,"Oklahoma",69,"",13,"Florida A&M",26,"F A&M","FCS"
"223",123,56,31,2,"Pac-12","ORE",4,"Oregon",42,"",25,"Fresno State",26,"FRES","Mountain West"
"827",124,98,72,2,"Pac-12","ORST",26,"Oregon State",10,"",7,"Wisconsin",13,"WIS","Big Ten"
"312",125,99,37,2,"Conference USA","RICE",26,"Rice",25,"@",24,"Kansas",26,"KU","Big 12"
"256",126,58,172,2,"Big East","RUT",26,"Rutgers",26,"",0,"Howard",26,"HOW","FCS"
"149",127,100,121,2,"FCS","SACRST",26,"Sacramento State",30,"@",28,"Colorado",26,"COL","Pac-12"
"55",128,101,128,2,"Mountain West","SDSU",26,"San Diego State",42,"",7,"Army",26,"ARMY","Independent"
"123",129,102,173,2,"Western Athletic","SJSU",26,"San Jose State",45,"",13,"California-Davis",26,"UC-D","FCS"
"496",130,103,174,2,"Sun Belt","SOBAMA",26,"South Alabama",9,"",3,"Nicholls State",26,"NICHST","FCS"
"181",131,12,28,2,"Southeastern","SC",9,"South Carolina",48,"",10,"East Carolina",26,"ECU","Conference USA"
"458",132,59,47,2,"Big East","SFU",26,"South Florida",32,"@",31,"Nevada",26,"NEV","Mountain West"
"658",133,60,117,2,"Pac-12","USC",2,"Southern California",42,"@",29,"Syracuse",26,"SYR","Big East"
"654",134,104,175,2,"Conference USA","SMU",26,"Southern Methodist",52,"",0,"Stephen F. Austin",26,"SFAUST","FCS"
"175",135,18,27,2,"Pac-12","STAN",25,"Stanford",50,"",13,"Duke",26,"DUKE","Atlantic Coast"
"231",136,20,176,2,"Southeastern","TEN",26,"Tennessee",51,"",13,"Georgia State",26,"GEORST","FCS"
"479",137,62,48,2,"Big 12","TEX",17,"Texas",45,"",0,"New Mexico",26,"NM","Mountain West"
"239",138,105,177,2,"Big 12","TCU",20,"Texas Christian",56,"",0,"Grambling State",26,"GRAMB","FCS"
"698",139,64,63,2,"Big 12","TTU",26,"Texas Tech",58,"@",10,"Texas State",26,"TEXST","Western Athletic"
"683",140,65,178,2,"Western Athletic","UTSA",26,"Texas-San Antonio",27,"",16,"Texas A&M-Commerce",26,"T A&M-C","Division II"
"835",141,106,124,2,"Mid-American","TOL",26,"Toledo",34,"@",31,"Wyoming",26,"WYO","Mountain West"
"730",142,107,131,2,"Conference USA","TULSA",26,"Tulsa",45,"",10,"Tulane",26,"TULA","Conference USA"
"456",143,13,46,2,"Pac-12","UCLA",26,"UCLA",36,"",30,"Nebraska",16,"NEB","Big Ten"
"550",144,67,115,2,"Atlantic Coast","UVA",26,"Virginia",17,"",16,"Penn State",26,"PENN","Big Ten"
"72",145,76,162,2,"Atlantic Coast","VT",15,"Virginia Tech",42,"",7,"Austin Peay",26,"PEAY","FCS"
"499",146,68,49,2,"Atlantic Coast","WAKE",26,"Wake Forest",28,"",27,"North Carolina",26,"UNC","Atlantic Coast"
"195",147,108,7,2,"Pac-12","WSU",26,"Washington State",24,"",20,"Eastern Washington",26,"EWU","FCS"
"183",148,109,179,2,"Mid-American","WMU",26,"Western Michigan",52,"",21,"Eastern Illinois",26,"EILLN","FCS"
"618",149,58,59,3,"Big East","RUT",26,"Rutgers",23,"@",13,"South Florida",26,"SFU","Big East"
"473",150,108,123,3,"Pac-12","WSU",26,"Washington State",35,"@",27,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"446",151,110,165,3,"Mid-American","AKRON",26,"Akron",66,"",6,"Morgan State",26,"MORG","FCS"
"42",152,22,24,3,"Southeastern","BAMA",1,"Alabama",52,"@",0,"Arkansas",26,"ARK","Southeastern"
"607",153,23,180,3,"Pac-12","ARI",24,"Arizona",56,"",0,"South Carolina State",26,"SCST","FCS"
"348",154,111,88,3,"Southeastern","AUB",26,"Auburn",31,"",28,"Louisiana-Monroe",26,"LA-M","Sun Belt"
"280",155,2,34,3,"Mid-American","BALL",26,"Ball State",41,"@",39,"Indiana",26,"IND","Big Ten"
"583",156,74,181,3,"Big 12","BAY",26,"Baylor",48,"",23,"Sam Houston State",26,"SAMH","FCS"
"398",157,112,90,3,"Mountain West","BST",26,"Boise State",39,"",12,"Miami OH",26,"MIA-O","Mid-American"
"834",158,113,124,3,"FCS","CAL-P",26,"Cal Poly",24,"@",22,"Wyoming",26,"WYO","Mountain West"
"217",159,4,83,3,"Conference USA","UCF",26,"Central Florida",33,"",20,"Florida International",26,"FIU","Sun Belt"
"170",160,77,182,3,"Big East","CIN",26,"Cincinnati",23,"",7,"Delaware State",26,"DELST","FCS"
"225",161,25,183,3,"Atlantic Coast","CLEM",11,"Clemson",41,"",7,"Furman",26,"FUR","FCS"
"369",162,6,41,3,"Big East","UCONN",26,"Connecticut",24,"@",21,"Maryland",26,"MARY","Atlantic Coast"
"503",163,27,184,3,"Atlantic Coast","DUKE",26,"Duke",54,"",17,"North Carolina Central",26,"NCC","FCS"
"647",164,28,153,3,"Conference USA","ECU",26,"East Carolina",24,"@",14,"Southern Mississippi",26,"SO MISS","Conference USA"
"670",165,29,20,3,"Southeastern","UF",18,"Florida",37,"@",20,"Tennessee",23,"TEN","Southeastern"
"780",166,30,68,3,"Atlantic Coast","FSU",5,"Florida State",52,"",0,"Wake Forest",26,"WAKE","Atlantic Coast"
"147",167,31,121,3,"Mountain West","FRES",26,"Fresno State",69,"",14,"Colorado",26,"COL","Pac-12"
"207",168,32,16,3,"Southeastern","UGA",7,"Georgia",56,"",20,"Florida Atlantic",26,"FAU","Sun Belt"
"762",169,84,67,3,"Atlantic Coast","GT",26,"Georgia Tech",56,"",20,"Virginia",26,"UVA","Atlantic Coast"
"335",170,114,148,3,"Mountain West","HAW",26,"Hawaii",54,"",2,"Lamar",26,"LAMAR","FCS"
"135",171,33,185,3,"Big Ten","IL",26,"Illinois",44,"",0,"Charleston Southern",26,"CHSOU","FCS"
"524",172,35,163,3,"Big Ten","IOWA",26,"Iowa",27,"",16,"Northern Iowa",26,"UNI","FCS"
"810",173,36,186,3,"Big 12","ISU",26,"Iowa State",37,"",3,"Western Illinois",26,"W ILLN","FCS"
"512",174,38,95,3,"Big 12","KSU",15,"Kansas State",35,"",21,"North Texas",26,"NTEX","Sun Belt"
"262",175,39,129,3,"Southeastern","LSU",3,"Louisiana State",63,"",14,"Idaho",26,"ID","Western Athletic"
"576",176,87,99,3,"Western Athletic","LTU",26,"Louisiana Tech",56,"",37,"Rice",26,"RICE","Conference USA"
"500",177,75,49,3,"Big East","LOU",19,"Louisville",39,"",34,"North Carolina",26,"UNC","Atlantic Coast"
"83",178,42,187,3,"Atlantic Coast","MIA",26,"Miami FL",38,"",10,"Bethune-Cookman",26,"BETHCK","FCS"
"374",179,91,133,3,"Big Ten","MICH",17,"Michigan",63,"",13,"Massachusetts",26,"UMASS","Mid-American"
"383",180,92,130,3,"Sun Belt","MTSU",26,"Middle Tennessee State",48,"@",30,"Memphis",26,"MEM","Conference USA"
"819",181,10,109,3,"Big Ten","MINN",26,"Minnesota",28,"",23,"Western Michigan",26,"WMU","Mid-American"
"724",182,44,66,3,"Southeastern","MISS ST",26,"Mississippi State",30,"@",24,"Troy",26,"TROY","Sun Belt"
"37",183,45,1,3,"Southeastern","MIZZ",26,"Missouri",24,"",20,"Arizona State",26,"ASU","Pac-12"
"52",184,46,78,3,"Big Ten","NEB",26,"Nebraska",42,"",13,"Arkansas State",26,"ARKST","Sun Belt"
"529",185,47,159,3,"Mountain West","NEV",26,"Nevada",45,"",34,"Northwestern State",26,"NWST","FCS"
"601",186,93,103,3,"Atlantic Coast","NCST",26,"North Carolina State",31,"",7,"South Alabama",26,"SOBAMA","Sun Belt"
"61",187,97,128,3,"Mid-American","NIU",26,"Northern Illinois",41,"@",40,"Army",26,"ARMY","Independent"
"86",188,50,79,3,"Big Ten","NU",26,"Northwestern",22,"",13,"Boston College",26,"BC","Atlantic Coast"
"408",189,51,17,3,"Independent","ND",20,"Notre Dame",20,"@",3,"Michigan State",10,"MSU","Big Ten"
"360",190,52,89,3,"Mid-American","OHIO",26,"Ohio",27,"@",24,"Marshall",26,"MAR ","Conference USA"
"116",191,53,82,3,"Big Ten","OSU",12,"Ohio State",35,"",28,"California",26,"CAL","Pac-12"
"343",192,55,40,3,"Big 12","OKST",26,"Oklahoma State",65,"",24,"Louisiana-Lafayette",26,"LA-L","Sun Belt"
"675",193,56,188,3,"Pac-12","ORE",4,"Oregon",63,"",14,"Tennessee Tech",26,"TENN TECH","FCS"
"449",194,115,122,3,"Big Ten","PENN",26,"Penn State",34,"",7,"Navy",26,"NAVY","Independent"
"772",195,116,76,3,"Big East","PITT",26,"Pittsburgh",35,"",17,"Virginia Tech",13,"VT","Atlantic Coast"
"187",196,57,132,3,"Big Ten","PUR",26,"Purdue",54,"",16,"Eastern Michigan",26,"EMU","Mid-American"
"510",197,101,189,3,"Mountain West","SDSU",26,"San Diego State",49,"",41,"North Dakota",26,"NDK","FCS"
"156",198,102,26,3,"Western Athletic","SJSU",26,"San Jose State",40,"",20,"Colorado State",26,"COLS","Mountain West"
"22",199,12,127,3,"Southeastern","SC",8,"South Carolina",49,"",6,"Alabama-Birmingham",26,"UAB","Conference USA"
