"","game.id","w.id","l.id","week","w.conference","w.rank","w.name","w.abbrvs","w.pts","w.ptdiff","l.conference","l.rank","l.name","l.abbrvs","l.pts","l.ptdiff"
"112",112,98,13,2,"Southeastern",26,"Mississippi State","MISS ST",28,18,"Southeastern",26,"Auburn","AUB",10,-18
"113",113,114,37,2,"Atlantic Coast",26,"North Carolina State","NCST",10,3,"Big East",26,"Connecticut","UCONN",7,-3
"114",114,116,36,2,"FCS",26,"North Dakota State","NDKST",22,15,"Mountain West",26,"Colorado State","COLS",7,-15
"115",115,117,173,2,"Sun Belt",26,"North Texas","NTEX",34,27,"FCS",26,"Texas Southern","TEXSTH",7,-27
"116",116,118,106,2,"FCS",26,"Northern Arizona","NOAZ",17,3,"Mountain West",26,"Nevada-Las Vegas","UNLV",14,-3
"117",117,120,168,2,"Mid-American",26,"Northern Illinois","NIU",35,28,"FCS",26,"Tennessee-Martin","TNMT",7,-28
"118",118,122,186,2,"Big Ten",26,"Northwestern","NU",23,10,"Southeastern",26,"Vanderbilt","VAN",13,-10
"119",119,125,136,2,"Independent",22,"Notre Dame","ND",20,3,"Big Ten",26,"Purdue","PUR",17,-3
"120",120,126,109,2,"Mid-American",26,"Ohio","OHIO",51,27,"Western Athletic",26,"New Mexico State","NMSU",24,-27
"121",121,127,27,2,"Big Ten",14,"Ohio State","OSU",31,15,"Conference USA",26,"Central Florida","UCF",16,-15
"122",122,128,47,2,"Big 12",5,"Oklahoma","OU",69,56,"FCS",26,"Florida A&M","F A&M",13,-56
"123",123,130,52,2,"Pac-12",4,"Oregon","ORE",42,17,"Mountain West",26,"Fresno State","FRES",25,-17
"124",124,131,202,2,"Pac-12",26,"Oregon State","ORST",10,3,"Big Ten",13,"Wisconsin","WIS",7,-3
"125",125,138,74,2,"Conference USA",26,"Rice","RICE",25,1,"Big 12",26,"Kansas","KU",24,-1
"126",126,140,62,2,"Big East",26,"Rutgers","RUT",26,26,"FCS",26,"Howard","HOW",0,-26
"127",127,141,35,2,"FCS",26,"Sacramento State","SACRST",30,2,"Pac-12",26,"Colorado","COL",28,-2
"128",128,144,12,2,"Mountain West",26,"San Diego State","SDSU",42,35,"Independent",26,"Army","ARMY",7,-35
"129",129,145,25,2,"Western Athletic",26,"San Jose State","SJSU",45,32,"FCS",26,"California-Davis","UC-D",13,-32
"130",130,147,110,2,"Sun Belt",26,"South Alabama","SOBAMA",9,6,"FCS",26,"Nicholls State","NICHST",3,-6
"131",131,148,40,2,"Southeastern",9,"South Carolina","SC",48,38,"Conference USA",26,"East Carolina","ECU",10,-38
"132",132,152,105,2,"Big East",26,"South Florida","SFU",32,1,"Mountain West",26,"Nevada","NEV",31,-1
"133",133,156,164,2,"Pac-12",2,"Southern California","USC",42,13,"Big East",26,"Syracuse","SYR",29,-13
"134",134,158,162,2,"Conference USA",26,"Southern Methodist","SMU",52,52,"FCS",26,"Stephen F. Austin","SFAUST",0,-52
"135",135,161,39,2,"Pac-12",25,"Stanford","STAN",50,37,"Atlantic Coast",26,"Duke","DUKE",13,-37
"136",136,166,57,2,"Southeastern",26,"Tennessee","TEN",51,38,"FCS",26,"Georgia State","GEORST",13,-38
"137",137,169,108,2,"Big 12",17,"Texas","TEX",45,45,"Mountain West",26,"New Mexico","NM",0,-45
"138",138,172,59,2,"Big 12",20,"Texas Christian","TCU",56,56,"FCS",26,"Grambling State","GRAMB",0,-56
"139",139,175,174,2,"Big 12",26,"Texas Tech","TTU",58,48,"Western Athletic",26,"Texas State","TEXST",10,-48
"140",140,177,171,2,"Western Athletic",26,"Texas-San Antonio","UTSA",27,11,"Division II",26,"Texas A&M-Commerce","T A&M-C",16,-11
"141",141,178,204,2,"Mid-American",26,"Toledo","TOL",34,3,"Mountain West",26,"Wyoming","WYO",31,-3
"142",142,182,181,2,"Conference USA",26,"Tulsa","TULSA",45,35,"Conference USA",26,"Tulane","TULA",10,-35
"143",143,183,104,2,"Pac-12",26,"UCLA","UCLA",36,6,"Big Ten",16,"Nebraska","NEB",30,-6
"144",144,188,132,2,"Atlantic Coast",26,"Virginia","UVA",17,1,"Big Ten",26,"Penn State","PENN",16,-1
"145",145,190,14,2,"Atlantic Coast",15,"Virginia Tech","VT",42,35,"FCS",26,"Austin Peay","PEAY",7,-35
"146",146,192,112,2,"Atlantic Coast",26,"Wake Forest","WAKE",28,1,"Atlantic Coast",26,"North Carolina","UNC",27,-1
"147",147,194,44,2,"Pac-12",26,"Washington State","WSU",24,4,"FCS",26,"Eastern Washington","EWU",20,-4
"148",148,200,41,2,"Mid-American",26,"Western Michigan","WMU",52,31,"FCS",26,"Eastern Illinois","EILLN",21,-31
"149",149,140,152,3,"Big East",26,"Rutgers","RUT",23,10,"Big East",26,"South Florida","SFU",13,-10
"150",150,194,106,3,"Pac-12",26,"Washington State","WSU",35,8,"Mountain West",26,"Nevada-Las Vegas","UNLV",27,-8
"151",151,2,101,3,"Mid-American",26,"Akron","AKRON",66,60,"FCS",26,"Morgan State","MORG",6,-60
"152",152,3,10,3,"Southeastern",1,"Alabama","BAMA",52,52,"Southeastern",26,"Arkansas","ARK",0,-52
"153",153,8,149,3,"Pac-12",24,"Arizona","ARI",56,56,"FCS",26,"South Carolina State","SCST",0,-56
"154",154,13,83,3,"Southeastern",26,"Auburn","AUB",31,3,"Sun Belt",26,"Louisiana-Monroe","LA-M",28,-3
"155",155,15,67,3,"Mid-American",26,"Ball State","BALL",41,2,"Big Ten",26,"Indiana","IND",39,-2
"156",156,16,142,3,"Big 12",26,"Baylor","BAY",48,25,"FCS",26,"Sam Houston State","SAMH",23,-25
"157",157,18,92,3,"Mountain West",26,"Boise State","BST",39,27,"Mid-American",26,"Miami OH","MIA-O",12,-27
"158",158,23,204,3,"FCS",26,"Cal Poly","CAL-P",24,2,"Mountain West",26,"Wyoming","WYO",22,-2
"159",159,27,49,3,"Conference USA",26,"Central Florida","UCF",33,13,"Sun Belt",26,"Florida International","FIU",20,-13
"160",160,31,38,3,"Big East",26,"Cincinnati","CIN",23,16,"FCS",26,"Delaware State","DELST",7,-16
"161",161,33,53,3,"Atlantic Coast",11,"Clemson","CLEM",41,34,"FCS",26,"Furman","FUR",7,-34
"162",162,37,87,3,"Big East",26,"Connecticut","UCONN",24,3,"Atlantic Coast",26,"Maryland","MARY",21,-3
"163",163,39,113,3,"Atlantic Coast",26,"Duke","DUKE",54,37,"FCS",26,"North Carolina Central","NCC",17,-37
"164",164,40,159,3,"Conference USA",26,"East Carolina","ECU",24,10,"Conference USA",26,"Southern Mississippi","SO MISS",14,-10
"165",165,46,166,3,"Southeastern",18,"Florida","UF",37,17,"Southeastern",23,"Tennessee","TEN",20,-17
"166",166,50,192,3,"Atlantic Coast",5,"Florida State","FSU",52,52,"Atlantic Coast",26,"Wake Forest","WAKE",0,-52
"167",167,52,35,3,"Mountain West",26,"Fresno State","FRES",69,55,"Pac-12",26,"Colorado","COL",14,-55
"168",168,55,48,3,"Southeastern",7,"Georgia","UGA",56,36,"Sun Belt",26,"Florida Atlantic","FAU",20,-36
"169",169,58,188,3,"Atlantic Coast",26,"Georgia Tech","GT",56,36,"Atlantic Coast",26,"Virginia","UVA",20,-36
"170",170,60,78,3,"Mountain West",26,"Hawaii","HAW",54,52,"FCS",26,"Lamar","LAMAR",2,-52
"171",171,65,29,3,"Big Ten",26,"Illinois","IL",44,44,"FCS",26,"Charleston Southern","CHSOU",0,-44
"172",172,69,121,3,"Big Ten",26,"Iowa","IOWA",27,11,"FCS",26,"Northern Iowa","UNI",16,-11
"173",173,70,198,3,"Big 12",26,"Iowa State","ISU",37,34,"FCS",26,"Western Illinois","W ILLN",3,-34
"174",174,75,117,3,"Big 12",15,"Kansas State","KSU",35,14,"Sun Belt",26,"North Texas","NTEX",21,-14
"175",175,80,63,3,"Southeastern",3,"Louisiana State","LSU",63,49,"Western Athletic",26,"Idaho","ID",14,-49
"176",176,81,138,3,"Western Athletic",26,"Louisiana Tech","LTU",56,19,"Conference USA",26,"Rice","RICE",37,-19
"177",177,84,112,3,"Big East",19,"Louisville","LOU",39,5,"Atlantic Coast",26,"North Carolina","UNC",34,-5
"178",178,91,17,3,"Atlantic Coast",26,"Miami FL","MIA",38,28,"FCS",26,"Bethune-Cookman","BETHCK",10,-28
"179",179,93,88,3,"Big Ten",17,"Michigan","MICH",63,50,"Mid-American",26,"Massachusetts","UMASS",13,-50
"180",180,95,90,3,"Sun Belt",26,"Middle Tennessee State","MTSU",48,18,"Conference USA",26,"Memphis","MEM",30,-18
"181",181,96,200,3,"Big Ten",26,"Minnesota","MINN",28,5,"Mid-American",26,"Western Michigan","WMU",23,-5
"182",182,98,180,3,"Southeastern",26,"Mississippi State","MISS ST",30,6,"Sun Belt",26,"Troy","TROY",24,-6
"183",183,99,9,3,"Southeastern",26,"Missouri","MIZZ",24,4,"Pac-12",26,"Arizona State","ASU",20,-4
"184",184,104,11,3,"Big Ten",26,"Nebraska","NEB",42,29,"Sun Belt",26,"Arkansas State","ARKST",13,-29
"185",185,105,124,3,"Mountain West",26,"Nevada","NEV",45,11,"FCS",26,"Northwestern State","NWST",34,-11
"186",186,114,147,3,"Atlantic Coast",26,"North Carolina State","NCST",31,24,"Sun Belt",26,"South Alabama","SOBAMA",7,-24
"187",187,120,12,3,"Mid-American",26,"Northern Illinois","NIU",41,1,"Independent",26,"Army","ARMY",40,-1
"188",188,122,19,3,"Big Ten",26,"Northwestern","NU",22,9,"Atlantic Coast",26,"Boston College","BC",13,-9
"189",189,125,94,3,"Independent",20,"Notre Dame","ND",20,17,"Big Ten",10,"Michigan State","MSU",3,-17
"190",190,126,86,3,"Mid-American",26,"Ohio","OHIO",27,3,"Conference USA",26,"Marshall","MAR ",24,-3
"191",191,127,24,3,"Big Ten",12,"Ohio State","OSU",35,7,"Pac-12",26,"California","CAL",28,-7
"192",192,129,82,3,"Big 12",26,"Oklahoma State","OKST",65,41,"Sun Belt",26,"Louisiana-Lafayette","LA-L",24,-41
"193",193,130,167,3,"Pac-12",4,"Oregon","ORE",63,49,"FCS",26,"Tennessee Tech","TENN TECH",14,-49
"194",194,132,103,3,"Big Ten",26,"Penn State","PENN",34,27,"Independent",26,"Navy","NAVY",7,-27
"195",195,133,190,3,"Big East",26,"Pittsburgh","PITT",35,18,"Atlantic Coast",13,"Virginia Tech","VT",17,-18
"196",196,136,43,3,"Big Ten",26,"Purdue","PUR",54,38,"Mid-American",26,"Eastern Michigan","EMU",16,-38
"197",197,144,115,3,"Mountain West",26,"San Diego State","SDSU",49,8,"FCS",26,"North Dakota","NDK",41,-8
"198",198,145,36,3,"Western Athletic",26,"San Jose State","SJSU",40,20,"Mountain West",26,"Colorado State","COLS",20,-20
"199",199,148,5,3,"Southeastern",8,"South Carolina","SC",49,43,"Conference USA",26,"Alabama-Birmingham","UAB",6,-43
"200",200,161,156,3,"Pac-12",21,"Stanford","STAN",21,7,"Pac-12",2,"Southern California","USC",14,-7
"201",201,164,163,3,"Big East",26,"Syracuse","SYR",28,11,"FCS",26,"Stony Brook","STBRK",17,-11
"202",202,169,97,3,"Big 12",14,"Texas","TEX",66,35,"Southeastern",26,"Mississippi","OLE",31,-35
"203",203,170,158,3,"Southeastern",26,"Texas A&M","TAMU",48,45,"Conference USA",26,"Southern Methodist","SMU",3,-45
"204",204,172,74,3,"Big 12",16,"Texas Christian","TCU",20,14,"Big 12",26,"Kansas","KU",6,-14
"205",205,175,108,3,"Big 12",26,"Texas Tech","TTU",49,35,"Mountain West",26,"New Mexico","NM",14,-35
"206",206,176,109,3,"Conference USA",26,"Texas-El Paso","UT-EP",41,13,"Western Athletic",26,"New Mexico State","NMSU",28,-13
"207",207,177,57,3,"Western Athletic",26,"Texas-San Antonio","UTSA",38,24,"FCS",26,"Georgia State","GEORST",14,-24
"208",208,178,20,3,"Mid-American",26,"Toledo","TOL",27,12,"Mid-American",26,"Bowling Green State","BG",15,-12
"209",209,182,110,3,"Conference USA",26,"Tulsa","TULSA",66,50,"FCS",26,"Nicholls State","NICHST",16,-50
"210",210,183,61,3,"Pac-12",22,"UCLA","UCLA",37,31,"Conference USA",26,"Houston","HOU",6,-31
"211",211,184,21,3,"Pac-12",26,"Utah","UTAH",24,3,"Independent",25,"Brigham Young","BYU",21,-3
"212",212,186,135,3,"Southeastern",26,"Vanderbilt","VAN",58,58,"FCS",26,"Presbyterian","PRESB",0,-58
"213",213,193,134,3,"Pac-12",26,"Washington","WASH",52,39,"FCS",26,"Portland State","PORTST",13,-39
"214",214,196,73,3,"Big 12",9,"West Virginia","WV",42,30,"FCS",26,"James Madison","JAMES",12,-30
"215",215,199,77,3,"Sun Belt",26,"Western Kentucky","WKU",32,1,"Southeastern",26,"Kentucky","UK",31,-1
"216",216,202,185,3,"Big Ten",26,"Wisconsin","WIS",16,2,"Western Athletic",26,"Utah State","UTST",14,-2
"217",217,76,22,4,"Mid-American",26,"Kent State","KENT",23,16,"Mid-American",26,"Buffalo","BUF",7,-16
"218",218,18,21,4,"Mountain West",24,"Boise State","BST",7,1,"Independent",26,"Brigham Young","BYU",6,-1
