"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"592",91,2,50,"Atlantic Coast","Florida State","FSU",6,55,"",0,26,"SAVST","Savannah State","FCS",146
"441",92,2,55,"Southeastern","Georgia","UGA",7,41,"@",20,26,"MIZZ","Missouri","Southeastern",99
"562",93,2,58,"Atlantic Coast","Georgia Tech","GT",26,59,"",3,26,"PRESB","Presbyterian","FCS",135
"189",94,2,66,"FCS","Illinois State","ILST",26,31,"@",14,26,"EMU","Eastern Michigan","Mid-American",43
"375",95,2,67,"Big Ten","Indiana","IND",26,45,"@",6,26,"UMASS","Massachusetts","Mid-American",88
"296",96,2,70,"Big 12","Iowa State","ISU",26,9,"@",6,26,"IOWA","Iowa","Big Ten",69
"393",97,2,75,"Big 12","Kansas State","KSU",21,52,"",13,26,"MIA","Miami FL","Atlantic Coast",91
"323",98,2,77,"Southeastern","Kentucky","UK",26,47,"",14,26,"KENT","Kent State","Mid-American",76
"785",99,2,80,"Southeastern","Louisiana State","LSU",3,41,"",3,26,"WASH","Washington","Pac-12",193
"253",100,2,81,"Western Athletic","Louisiana Tech","LTU",26,56,"@",49,26,"HOU","Houston","Conference USA",61
"723",101,2,82,"Sun Belt","Louisiana-Lafayette","LA-L",26,37,"@",24,26,"TROY","Troy","Sun Belt",180
"43",102,2,83,"Sun Belt","Louisiana-Monroe","LA-M",26,34,"@",31,8,"ARK","Arkansas","Southeastern",10
"443",103,2,84,"Big East","Louisville","LOU",23,35,"",7,26,"MIZZST","Missouri State","FCS",100
"808",104,2,86,"Conference USA","Marshall","MAR ",26,52,"",24,26,"WCU","Western Carolina","FCS",197
"662",105,2,87,"Atlantic Coast","Maryland","MARY",26,36,"@",27,26,"TEM","Temple","Big East",165
"630",106,2,92,"Mid-American","Miami OH","MIA-O",26,30,"",14,26,"SILLN","Southern Illinois","FCS",157
"1",107,2,93,"Big Ten","Michigan","MICH",19,31,"",25,26,"AF","Air Force","Mountain West",1
"133",108,2,94,"Big Ten","Michigan State","MSU",11,41,"@",7,26,"CMU","Central Michigan","Mid-American",28
"201",109,2,95,"Sun Belt","Middle Tennessee State","MTSU",26,31,"",17,26,"FAU","Florida Atlantic","Sun Belt",48
"474",110,2,96,"Big Ten","Minnesota","MINN",26,44,"",7,26,"NHAMP","New Hampshire","FCS",107
"705",111,2,97,"Southeastern","Mississippi","OLE",26,28,"",10,26,"UT-EP","Texas-El Paso","Conference USA",176
"65",112,2,98,"Southeastern","Mississippi State","MISS ST",26,28,"",10,26,"AUB","Auburn","Southeastern",13
"163",113,2,114,"Atlantic Coast","North Carolina State","NCST",26,10,"@",7,26,"UCONN","Connecticut","Big East",37
"156",114,2,116,"FCS","North Dakota State","NDKST",26,22,"@",7,26,"COLS","Colorado State","Mountain West",36
"690",115,2,117,"Sun Belt","North Texas","NTEX",26,34,"",7,26,"TEXSTH","Texas Southern","FCS",173
"468",116,2,118,"FCS","Northern Arizona","NOAZ",26,17,"@",14,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"676",117,2,120,"Mid-American","Northern Illinois","NIU",26,35,"",7,26,"TNMT","Tennessee-Martin","FCS",168
"758",118,2,122,"Big Ten","Northwestern","NU",26,23,"",13,26,"VAN","Vanderbilt","Southeastern",186
"568",119,2,125,"Independent","Notre Dame","ND",22,20,"",17,26,"PUR","Purdue","Big Ten",136
"486",120,2,126,"Mid-American","Ohio","OHIO",26,51,"",24,26,"NMSU","New Mexico State","Western Athletic",109
"125",121,2,127,"Big Ten","Ohio State","OSU",14,31,"",16,26,"UCF","Central Florida","Conference USA",27
"199",122,2,128,"Big 12","Oklahoma","OU",5,69,"",13,26,"F A&M","Florida A&M","FCS",47
"221",123,2,130,"Pac-12","Oregon","ORE",4,42,"",25,26,"FRES","Fresno State","Mountain West",52
"831",124,2,131,"Pac-12","Oregon State","ORST",26,10,"",7,13,"WIS","Wisconsin","Big Ten",202
"313",125,2,138,"Conference USA","Rice","RICE",26,25,"@",24,26,"KU","Kansas","Big 12",74
"256",126,2,140,"Big East","Rutgers","RUT",26,26,"",0,26,"HOW","Howard","FCS",62
"148",127,2,141,"FCS","Sacramento State","SACRST",26,30,"@",28,26,"COL","Colorado","Pac-12",35
"54",128,2,144,"Mountain West","San Diego State","SDSU",26,42,"",7,26,"ARMY","Army","Independent",12
"123",129,2,145,"Western Athletic","San Jose State","SJSU",26,45,"",13,26,"UC-D","California-Davis","FCS",25
"495",130,2,147,"Sun Belt","South Alabama","SOBAMA",26,9,"",3,26,"NICHST","Nicholls State","FCS",110
"180",131,2,148,"Southeastern","South Carolina","SC",9,48,"",10,26,"ECU","East Carolina","Conference USA",40
"461",132,2,152,"Big East","South Florida","SFU",26,32,"@",31,26,"NEV","Nevada","Mountain West",105
"660",133,2,156,"Pac-12","Southern California","USC",2,42,"@",29,26,"SYR","Syracuse","Big East",164
"653",134,2,158,"Conference USA","Southern Methodist","SMU",26,52,"",0,26,"SFAUST","Stephen F. Austin","FCS",162
"174",135,2,161,"Pac-12","Stanford","STAN",25,50,"",13,26,"DUKE","Duke","Atlantic Coast",39
"231",136,2,166,"Southeastern","Tennessee","TEN",26,51,"",13,26,"GEORST","Georgia State","FCS",57
"478",137,2,169,"Big 12","Texas","TEX",17,45,"",0,26,"NM","New Mexico","Mountain West",108
"239",138,2,172,"Big 12","Texas Christian","TCU",20,56,"",0,26,"GRAMB","Grambling State","FCS",59
"692",139,2,175,"Big 12","Texas Tech","TTU",26,58,"@",10,26,"TEXST","Texas State","Western Athletic",174
"683",140,2,177,"Western Athletic","Texas-San Antonio","UTSA",26,27,"",16,26,"T A&M-C","Texas A&M-Commerce","Division II",171
"838",141,2,178,"Mid-American","Toledo","TOL",26,34,"@",31,26,"WYO","Wyoming","Mountain West",204
"733",142,2,182,"Conference USA","Tulsa","TULSA",26,45,"",10,26,"TULA","Tulane","Conference USA",181
