"","game.id","week","team","points","results"
"1",1,1,"Arizona State",63,"W"
"841",1,1,"Northern Arizona",6,"L"
"2",2,1,"Ball State",37,"W"
"842",2,1,"Eastern Michigan",26,"L"
"3",3,1,"Brigham Young",30,"W"
"843",3,1,"Washington State",6,"L"
"4",4,1,"Central Florida",56,"W"
"844",4,1,"Akron",14,"L"
"5",5,1,"Central Michigan",38,"W"
"845",5,1,"Southeast Missouri State",27,"L"
"6",6,1,"Connecticut",37,"W"
"846",6,1,"Massachusetts",0,"L"
"7",7,1,"Eastern Washington",20,"W"
"847",7,1,"Idaho",3,"L"
"8",8,1,"Kent State",41,"W"
"848",8,1,"Towson",21,"L"
"9",9,1,"McNeese State",27,"W"
"849",9,1,"Middle Tennessee State",21,"L"
"10",10,1,"Minnesota",30,"W"
"850",10,1,"Nevada-Las Vegas",27,"L"
"11",11,1,"New Mexico State",49,"W"
"851",11,1,"Sacramento State",19,"L"
"12",12,1,"South Carolina",17,"W"
"852",12,1,"Vanderbilt",13,"L"
"13",13,1,"UCLA",49,"W"
"853",13,1,"Rice",24,"L"
"14",14,1,"Utah",41,"W"
"854",14,1,"Northern Colorado",0,"L"
"15",15,1,"Utah State",34,"W"
"855",15,1,"Southern Utah",3,"L"
"16",16,1,"Florida Atlantic",7,"W"
"856",16,1,"Wagner",3,"L"
"17",17,1,"Michigan State",17,"W"
"857",17,1,"Boise State",13,"L"
"18",18,1,"Stanford",20,"W"
"858",18,1,"San Jose State",17,"L"
"19",19,1,"Temple",41,"W"
"859",19,1,"Villanova",10,"L"
"20",20,1,"Tennessee",35,"W"
"860",20,1,"North Carolina State",21,"L"
"21",21,1,"Air Force",49,"W"
"861",21,1,"Idaho State",21,"L"
"22",22,1,"Alabama",41,"W"
"862",22,1,"Michigan",14,"L"
"23",23,1,"Arizona",24,"W"
"863",23,1,"Toledo",17,"L"
"24",24,1,"Arkansas",49,"W"
"864",24,1,"Jacksonville State",24,"L"
"25",25,1,"Clemson",26,"W"
"865",25,1,"Auburn",19,"L"
"26",26,1,"Colorado State",22,"W"
"866",26,1,"Colorado",17,"L"
"27",27,1,"Duke",46,"W"
"867",27,1,"Florida International",26,"L"
"28",28,1,"East Carolina",35,"W"
"868",28,1,"Appalachian State",13,"L"
"29",29,1,"Florida",27,"W"
"869",29,1,"Bowling Green State",14,"L"
"30",30,1,"Florida State",69,"W"
"870",30,1,"Murray State",3,"L"
"31",31,1,"Fresno State",37,"W"
"871",31,1,"Weber State",10,"L"
"32",32,1,"Georgia",45,"W"
"872",32,1,"Buffalo",23,"L"
"33",33,1,"Illinois",24,"W"
"873",33,1,"Western Michigan",7,"L"
"34",34,1,"Indiana",24,"W"
"874",34,1,"Indiana State",17,"L"
"35",35,1,"Iowa",18,"W"
"875",35,1,"Northern Illinois",17,"L"
"36",36,1,"Iowa State",38,"W"
"876",36,1,"Tulsa",23,"L"
"37",37,1,"Kansas",31,"W"
"877",37,1,"South Dakota State",17,"L"
"38",38,1,"Kansas State",51,"W"
"878",38,1,"Missouri State",9,"L"
"39",39,1,"Louisiana State",41,"W"
"879",39,1,"North Texas",14,"L"
"40",40,1,"Louisiana-Lafayette",40,"W"
"880",40,1,"Lamar",0,"L"
"41",41,1,"Maryland",7,"W"
"881",41,1,"William & Mary",6,"L"
"42",42,1,"Miami FL",41,"W"
"882",42,1,"Boston College",32,"L"
"43",43,1,"Mississippi",49,"W"
"883",43,1,"Central Arkansas",27,"L"
"44",44,1,"Mississippi State",56,"W"
"884",44,1,"Jackson State",9,"L"
"45",45,1,"Missouri",62,"W"
"885",45,1,"Southeastern Louisiana",10,"L"
"46",46,1,"Nebraska",49,"W"
"886",46,1,"Southern Mississippi",20,"L"
"47",47,1,"Nevada",31,"W"
"887",47,1,"California",24,"L"
"48",48,1,"New Mexico",66,"W"
"888",48,1,"Southern",21,"L"
"49",49,1,"North Carolina",62,"W"
"889",49,1,"Elon",0,"L"
"50",50,1,"Northwestern",42,"W"
"890",50,1,"Syracuse",41,"L"
"51",51,1,"Notre Dame",50,"W"
"891",51,1,"Navy",10,"L"
"52",52,1,"Ohio",24,"W"
"892",52,1,"Penn State",14,"L"
"53",53,1,"Ohio State",56,"W"
"893",53,1,"Miami OH",10,"L"
"54",54,1,"Oklahoma",24,"W"
"894",54,1,"Texas-El Paso",7,"L"
"55",55,1,"Oklahoma State",84,"W"
"895",55,1,"Savannah State",0,"L"
"56",56,1,"Oregon",57,"W"
"896",56,1,"Arkansas State",34,"L"
"57",57,1,"Purdue",48,"W"
"897",57,1,"Eastern Kentucky",6,"L"
"58",58,1,"Rutgers",24,"W"
"898",58,1,"Tulane",12,"L"
"59",59,1,"South Florida",34,"W"
"899",59,1,"Chattanooga",13,"L"
"60",60,1,"Southern California",49,"W"
"900",60,1,"Hawaii",10,"L"
"61",61,1,"Tennessee-Martin",20,"W"
"901",61,1,"Memphis",17,"L"
"62",62,1,"Texas",37,"W"
"902",62,1,"Wyoming",17,"L"
"63",63,1,"Texas State",30,"W"
"903",63,1,"Houston",13,"L"
"64",64,1,"Texas Tech",44,"W"
"904",64,1,"Northwestern State",6,"L"
"65",65,1,"Texas-San Antonio",33,"W"
"905",65,1,"South Alabama",31,"L"
"66",66,1,"Troy",39,"W"
"906",66,1,"Alabama-Birmingham",29,"L"
"67",67,1,"Virginia",43,"W"
"907",67,1,"Richmond",19,"L"
"68",68,1,"Wake Forest",20,"W"
"908",68,1,"Liberty",17,"L"
"69",69,1,"Washington",21,"W"
"909",69,1,"San Diego State",12,"L"
"70",70,1,"West Virginia",69,"W"
"910",70,1,"Marshall",34,"L"
"71",71,1,"Western Kentucky",49,"W"
"911",71,1,"Austin Peay",10,"L"
"72",72,1,"Wisconsin",26,"W"
"912",72,1,"Northern Iowa",21,"L"
"73",73,1,"Youngstown State",31,"W"
"913",73,1,"Pittsburgh",17,"L"
"74",74,1,"Baylor",59,"W"
"914",74,1,"Southern Methodist",24,"L"
"75",75,1,"Louisville",32,"W"
"915",75,1,"Kentucky",14,"L"
"76",76,1,"Virginia Tech",20,"W"
"916",76,1,"Georgia Tech",17,"L"
"77",77,2,"Cincinnati",34,"W"
"917",77,2,"Pittsburgh",10,"L"
"78",78,2,"Utah State",27,"W"
"918",78,2,"Utah",20,"L"
"79",79,2,"Alabama",35,"W"
"919",79,2,"Western Kentucky",0,"L"
"80",80,2,"Arizona",59,"W"
"920",80,2,"Oklahoma State",38,"L"
"81",81,2,"Arizona State",45,"W"
"921",81,2,"Illinois",14,"L"
"82",82,2,"Arkansas State",33,"W"
"922",82,2,"Memphis",28,"L"
"83",83,2,"Boston College",34,"W"
"923",83,2,"Maine",3,"L"
"84",84,2,"Bowling Green State",21,"W"
"924",84,2,"Idaho",13,"L"
"85",85,2,"Brigham Young",45,"W"
"925",85,2,"Weber State",13,"L"
"86",86,2,"Buffalo",56,"W"
"926",86,2,"Morgan State",34,"L"
"87",87,2,"California",50,"W"
"927",87,2,"Southern Utah",31,"L"
"88",88,2,"Clemson",52,"W"
"928",88,2,"Ball State",27,"L"
"89",89,2,"Florida",20,"W"
"929",89,2,"Texas A&M",17,"L"
"90",90,2,"Florida International",41,"W"
"930",90,2,"Akron",38,"L"
"91",91,2,"Florida State",55,"W"
"931",91,2,"Savannah State",0,"L"
"92",92,2,"Georgia",41,"W"
"932",92,2,"Missouri",20,"L"
"93",93,2,"Georgia Tech",59,"W"
"933",93,2,"Presbyterian",3,"L"
"94",94,2,"Illinois State",31,"W"
"934",94,2,"Eastern Michigan",14,"L"
"95",95,2,"Indiana",45,"W"
"935",95,2,"Massachusetts",6,"L"
"96",96,2,"Iowa State",9,"W"
"936",96,2,"Iowa",6,"L"
"97",97,2,"Kansas State",52,"W"
"937",97,2,"Miami FL",13,"L"
"98",98,2,"Kentucky",47,"W"
"938",98,2,"Kent State",14,"L"
"99",99,2,"Louisiana State",41,"W"
"939",99,2,"Washington",3,"L"
"100",100,2,"Louisiana Tech",56,"W"
"940",100,2,"Houston",49,"L"
"101",101,2,"Louisiana-Lafayette",37,"W"
"941",101,2,"Troy",24,"L"
"102",102,2,"Louisiana-Monroe",34,"W"
"942",102,2,"Arkansas",31,"L"
"103",103,2,"Louisville",35,"W"
"943",103,2,"Missouri State",7,"L"
"104",104,2,"Marshall",52,"W"
"944",104,2,"Western Carolina",24,"L"
"105",105,2,"Maryland",36,"W"
"945",105,2,"Temple",27,"L"
"106",106,2,"Miami OH",30,"W"
"946",106,2,"Southern Illinois",14,"L"
"107",107,2,"Michigan",31,"W"
"947",107,2,"Air Force",25,"L"
"108",108,2,"Michigan State",41,"W"
"948",108,2,"Central Michigan",7,"L"
"109",109,2,"Middle Tennessee State",31,"W"
"949",109,2,"Florida Atlantic",17,"L"
"110",110,2,"Minnesota",44,"W"
"950",110,2,"New Hampshire",7,"L"
"111",111,2,"Mississippi",28,"W"
"951",111,2,"Texas-El Paso",10,"L"
"112",112,2,"Mississippi State",28,"W"
"952",112,2,"Auburn",10,"L"
"113",113,2,"North Carolina State",10,"W"
"953",113,2,"Connecticut",7,"L"
"114",114,2,"North Dakota State",22,"W"
"954",114,2,"Colorado State",7,"L"
"115",115,2,"North Texas",34,"W"
"955",115,2,"Texas Southern",7,"L"
"116",116,2,"Northern Arizona",17,"W"
"956",116,2,"Nevada-Las Vegas",14,"L"
"117",117,2,"Northern Illinois",35,"W"
"957",117,2,"Tennessee-Martin",7,"L"
"118",118,2,"Northwestern",23,"W"
"958",118,2,"Vanderbilt",13,"L"
"119",119,2,"Notre Dame",20,"W"
"959",119,2,"Purdue",17,"L"
"120",120,2,"Ohio",51,"W"
"960",120,2,"New Mexico State",24,"L"
"121",121,2,"Ohio State",31,"W"
"961",121,2,"Central Florida",16,"L"
"122",122,2,"Oklahoma",69,"W"
"962",122,2,"Florida A&M",13,"L"
"123",123,2,"Oregon",42,"W"
"963",123,2,"Fresno State",25,"L"
"124",124,2,"Oregon State",10,"W"
"964",124,2,"Wisconsin",7,"L"
"125",125,2,"Rice",25,"W"
"965",125,2,"Kansas",24,"L"
"126",126,2,"Rutgers",26,"W"
"966",126,2,"Howard",0,"L"
"127",127,2,"Sacramento State",30,"W"
"967",127,2,"Colorado",28,"L"
"128",128,2,"San Diego State",42,"W"
"968",128,2,"Army",7,"L"
"129",129,2,"San Jose State",45,"W"
"969",129,2,"California-Davis",13,"L"
"130",130,2,"South Alabama",9,"W"
"970",130,2,"Nicholls State",3,"L"
"131",131,2,"South Carolina",48,"W"
"971",131,2,"East Carolina",10,"L"
"132",132,2,"South Florida",32,"W"
"972",132,2,"Nevada",31,"L"
"133",133,2,"Southern California",42,"W"
"973",133,2,"Syracuse",29,"L"
"134",134,2,"Southern Methodist",52,"W"
"974",134,2,"Stephen F. Austin",0,"L"
"135",135,2,"Stanford",50,"W"
"975",135,2,"Duke",13,"L"
"136",136,2,"Tennessee",51,"W"
"976",136,2,"Georgia State",13,"L"
"137",137,2,"Texas",45,"W"
"977",137,2,"New Mexico",0,"L"
"138",138,2,"Texas Christian",56,"W"
"978",138,2,"Grambling State",0,"L"
"139",139,2,"Texas Tech",58,"W"
"979",139,2,"Texas State",10,"L"
"140",140,2,"Texas-San Antonio",27,"W"
"980",140,2,"Texas A&M-Commerce",16,"L"
"141",141,2,"Toledo",34,"W"
"981",141,2,"Wyoming",31,"L"
"142",142,2,"Tulsa",45,"W"
"982",142,2,"Tulane",10,"L"
"143",143,2,"UCLA",36,"W"
"983",143,2,"Nebraska",30,"L"
"144",144,2,"Virginia",17,"W"
"984",144,2,"Penn State",16,"L"
"145",145,2,"Virginia Tech",42,"W"
"985",145,2,"Austin Peay",7,"L"
"146",146,2,"Wake Forest",28,"W"
"986",146,2,"North Carolina",27,"L"
"147",147,2,"Washington State",24,"W"
"987",147,2,"Eastern Washington",20,"L"
"148",148,2,"Western Michigan",52,"W"
"988",148,2,"Eastern Illinois",21,"L"
"149",149,3,"Rutgers",23,"W"
"989",149,3,"South Florida",13,"L"
"150",150,3,"Washington State",35,"W"
"990",150,3,"Nevada-Las Vegas",27,"L"
"151",151,3,"Akron",66,"W"
"991",151,3,"Morgan State",6,"L"
"152",152,3,"Alabama",52,"W"
"992",152,3,"Arkansas",0,"L"
"153",153,3,"Arizona",56,"W"
"993",153,3,"South Carolina State",0,"L"
"154",154,3,"Auburn",31,"W"
"994",154,3,"Louisiana-Monroe",28,"L"
"155",155,3,"Ball State",41,"W"
"995",155,3,"Indiana",39,"L"
"156",156,3,"Baylor",48,"W"
"996",156,3,"Sam Houston State",23,"L"
"157",157,3,"Boise State",39,"W"
"997",157,3,"Miami OH",12,"L"
"158",158,3,"Cal Poly",24,"W"
"998",158,3,"Wyoming",22,"L"
"159",159,3,"Central Florida",33,"W"
"999",159,3,"Florida International",20,"L"
"160",160,3,"Cincinnati",23,"W"
"1000",160,3,"Delaware State",7,"L"
"161",161,3,"Clemson",41,"W"
"1001",161,3,"Furman",7,"L"
"162",162,3,"Connecticut",24,"W"
"1002",162,3,"Maryland",21,"L"
"163",163,3,"Duke",54,"W"
"1003",163,3,"North Carolina Central",17,"L"
"164",164,3,"East Carolina",24,"W"
"1004",164,3,"Southern Mississippi",14,"L"
"165",165,3,"Florida",37,"W"
"1005",165,3,"Tennessee",20,"L"
"166",166,3,"Florida State",52,"W"
"1006",166,3,"Wake Forest",0,"L"
"167",167,3,"Fresno State",69,"W"
"1007",167,3,"Colorado",14,"L"
"168",168,3,"Georgia",56,"W"
"1008",168,3,"Florida Atlantic",20,"L"
"169",169,3,"Georgia Tech",56,"W"
"1009",169,3,"Virginia",20,"L"
"170",170,3,"Hawaii",54,"W"
"1010",170,3,"Lamar",2,"L"
"171",171,3,"Illinois",44,"W"
"1011",171,3,"Charleston Southern",0,"L"
"172",172,3,"Iowa",27,"W"
"1012",172,3,"Northern Iowa",16,"L"
"173",173,3,"Iowa State",37,"W"
"1013",173,3,"Western Illinois",3,"L"
"174",174,3,"Kansas State",35,"W"
"1014",174,3,"North Texas",21,"L"
"175",175,3,"Louisiana State",63,"W"
"1015",175,3,"Idaho",14,"L"
"176",176,3,"Louisiana Tech",56,"W"
"1016",176,3,"Rice",37,"L"
"177",177,3,"Louisville",39,"W"
"1017",177,3,"North Carolina",34,"L"
"178",178,3,"Miami FL",38,"W"
"1018",178,3,"Bethune-Cookman",10,"L"
"179",179,3,"Michigan",63,"W"
"1019",179,3,"Massachusetts",13,"L"
"180",180,3,"Middle Tennessee State",48,"W"
"1020",180,3,"Memphis",30,"L"
"181",181,3,"Minnesota",28,"W"
"1021",181,3,"Western Michigan",23,"L"
"182",182,3,"Mississippi State",30,"W"
"1022",182,3,"Troy",24,"L"
"183",183,3,"Missouri",24,"W"
"1023",183,3,"Arizona State",20,"L"
"184",184,3,"Nebraska",42,"W"
"1024",184,3,"Arkansas State",13,"L"
"185",185,3,"Nevada",45,"W"
"1025",185,3,"Northwestern State",34,"L"
"186",186,3,"North Carolina State",31,"W"
"1026",186,3,"South Alabama",7,"L"
"187",187,3,"Northern Illinois",41,"W"
"1027",187,3,"Army",40,"L"
"188",188,3,"Northwestern",22,"W"
"1028",188,3,"Boston College",13,"L"
"189",189,3,"Notre Dame",20,"W"
"1029",189,3,"Michigan State",3,"L"
"190",190,3,"Ohio",27,"W"
"1030",190,3,"Marshall",24,"L"
"191",191,3,"Ohio State",35,"W"
"1031",191,3,"California",28,"L"
"192",192,3,"Oklahoma State",65,"W"
"1032",192,3,"Louisiana-Lafayette",24,"L"
"193",193,3,"Oregon",63,"W"
"1033",193,3,"Tennessee Tech",14,"L"
"194",194,3,"Penn State",34,"W"
"1034",194,3,"Navy",7,"L"
"195",195,3,"Pittsburgh",35,"W"
"1035",195,3,"Virginia Tech",17,"L"
"196",196,3,"Purdue",54,"W"
"1036",196,3,"Eastern Michigan",16,"L"
"197",197,3,"San Diego State",49,"W"
"1037",197,3,"North Dakota",41,"L"
"198",198,3,"San Jose State",40,"W"
"1038",198,3,"Colorado State",20,"L"
"199",199,3,"South Carolina",49,"W"
"1039",199,3,"Alabama-Birmingham",6,"L"
"200",200,3,"Stanford",21,"W"
"1040",200,3,"Southern California",14,"L"
"201",201,3,"Syracuse",28,"W"
"1041",201,3,"Stony Brook",17,"L"
"202",202,3,"Texas",66,"W"
"1042",202,3,"Mississippi",31,"L"
"203",203,3,"Texas A&M",48,"W"
"1043",203,3,"Southern Methodist",3,"L"
"204",204,3,"Texas Christian",20,"W"
"1044",204,3,"Kansas",6,"L"
"205",205,3,"Texas Tech",49,"W"
"1045",205,3,"New Mexico",14,"L"
"206",206,3,"Texas-El Paso",41,"W"
"1046",206,3,"New Mexico State",28,"L"
"207",207,3,"Texas-San Antonio",38,"W"
"1047",207,3,"Georgia State",14,"L"
"208",208,3,"Toledo",27,"W"
"1048",208,3,"Bowling Green State",15,"L"
"209",209,3,"Tulsa",66,"W"
"1049",209,3,"Nicholls State",16,"L"
"210",210,3,"UCLA",37,"W"
"1050",210,3,"Houston",6,"L"
"211",211,3,"Utah",24,"W"
"1051",211,3,"Brigham Young",21,"L"
"212",212,3,"Vanderbilt",58,"W"
"1052",212,3,"Presbyterian",0,"L"
"213",213,3,"Washington",52,"W"
"1053",213,3,"Portland State",13,"L"
"214",214,3,"West Virginia",42,"W"
"1054",214,3,"James Madison",12,"L"
"215",215,3,"Western Kentucky",32,"W"
"1055",215,3,"Kentucky",31,"L"
"216",216,3,"Wisconsin",16,"W"
"1056",216,3,"Utah State",14,"L"
"217",217,4,"Kent State",23,"W"
"1057",217,4,"Buffalo",7,"L"
"218",218,4,"Boise State",7,"W"
"1058",218,4,"Brigham Young",6,"L"
"219",219,4,"Baylor",47,"W"
"1059",219,4,"Louisiana-Monroe",42,"L"
"220",220,4,"Alabama",40,"W"
"1060",220,4,"Florida Atlantic",7,"L"
"221",221,4,"Arizona State",37,"W"
"1061",221,4,"Utah",7,"L"
"222",222,4,"Arkansas State",56,"W"
"1062",222,4,"Alcorn State",0,"L"
"223",223,4,"Ball State",31,"W"
"1063",223,4,"South Florida",27,"L"
"224",224,4,"Central Michigan",32,"W"
"1064",224,4,"Iowa",31,"L"
"225",225,4,"Colorado",35,"W"
"1065",225,4,"Washington State",34,"L"
"226",226,4,"Duke",38,"W"
"1066",226,4,"Memphis",14,"L"
"227",227,4,"Florida",38,"W"
"1067",227,4,"Kentucky",0,"L"
"228",228,4,"Florida State",49,"W"
"1068",228,4,"Clemson",37,"L"
"229",229,4,"Georgia",48,"W"
"1069",229,4,"Vanderbilt",3,"L"
"230",230,4,"Kansas State",24,"W"
"1070",230,4,"Oklahoma",19,"L"
"231",231,4,"Louisiana State",12,"W"
"1071",231,4,"Auburn",10,"L"
"232",232,4,"Louisiana Tech",52,"W"
"1072",232,4,"Illinois",24,"L"
"233",233,4,"Louisville",28,"W"
"1073",233,4,"Florida International",21,"L"
"234",234,4,"Marshall",54,"W"
"1074",234,4,"Rice",51,"L"
"235",235,4,"Miami FL",42,"W"
"1075",235,4,"Georgia Tech",36,"L"
"236",236,4,"Miami OH",27,"W"
"1076",236,4,"Massachusetts",16,"L"
"237",237,4,"Michigan State",23,"W"
"1077",237,4,"Eastern Michigan",7,"L"
"238",238,4,"Minnesota",17,"W"
"1078",238,4,"Syracuse",10,"L"
"239",239,4,"Mississippi",39,"W"
"1079",239,4,"Tulane",0,"L"
"240",240,4,"Mississippi State",30,"W"
"1080",240,4,"South Alabama",10,"L"
"241",241,4,"Navy",41,"W"
"1081",241,4,"Virginia Military Institute",3,"L"
"242",242,4,"Nebraska",73,"W"
"1082",242,4,"Idaho State",7,"L"
"243",243,4,"Nevada",69,"W"
"1083",243,4,"Hawaii",24,"L"
"244",244,4,"Nevada-Las Vegas",38,"W"
"1084",244,4,"Air Force",35,"L"
"245",245,4,"New Mexico",27,"W"
"1085",245,4,"New Mexico State",14,"L"
"246",246,4,"North Carolina",27,"W"
"1086",246,4,"East Carolina",6,"L"
"247",247,4,"North Carolina State",52,"W"
"1087",247,4,"Citadel",14,"L"
"248",248,4,"Northern Illinois",30,"W"
"1088",248,4,"Kansas",23,"L"
"249",249,4,"Northwestern",38,"W"
"1089",249,4,"South Dakota",7,"L"
"250",250,4,"Notre Dame",13,"W"
"1090",250,4,"Michigan",6,"L"
"251",251,4,"Ohio",44,"W"
"1091",251,4,"Norfolk State",10,"L"
"252",252,4,"Ohio State",29,"W"
"1092",252,4,"Alabama-Birmingham",15,"L"
"253",253,4,"Oregon",49,"W"
"1093",253,4,"Arizona",0,"L"
"254",254,4,"Oregon State",27,"W"
"1094",254,4,"UCLA",20,"L"
"255",255,4,"Penn State",24,"W"
"1095",255,4,"Temple",13,"L"
"256",256,4,"Pittsburgh",55,"W"
"1096",256,4,"Gardner-Webb",10,"L"
"257",257,4,"Rutgers",35,"W"
"1097",257,4,"Arkansas",26,"L"
"258",258,4,"San Jose State",38,"W"
"1098",258,4,"San Diego State",34,"L"
"259",259,4,"South Carolina",31,"W"
"1099",259,4,"Missouri",10,"L"
"260",260,4,"Southern California",27,"W"
"1100",260,4,"California",9,"L"
"261",261,4,"Tennessee",47,"W"
"1101",261,4,"Akron",26,"L"
"262",262,4,"Texas A&M",70,"W"
"1102",262,4,"South Carolina State",14,"L"
"263",263,4,"Texas Christian",27,"W"
"1103",263,4,"Virginia",7,"L"
"264",264,4,"Texas State",41,"W"
"1104",264,4,"Stephen F. Austin",37,"L"
"265",265,4,"Texas-San Antonio",56,"W"
"1105",265,4,"Northwestern Oklahoma State",3,"L"
"266",266,4,"Toledo",38,"W"
"1106",266,4,"Coastal Carolina",28,"L"
"267",267,4,"Troy",14,"W"
"1107",267,4,"North Texas",7,"L"
"268",268,4,"Tulsa",27,"W"
"1108",268,4,"Fresno State",26,"L"
"269",269,4,"Utah State",31,"W"
"1109",269,4,"Colorado State",19,"L"
"270",270,4,"Virginia Tech",37,"W"
"1110",270,4,"Bowling Green State",0,"L"
"271",271,4,"Wake Forest",49,"W"
"1111",271,4,"Army",37,"L"
"272",272,4,"West Virginia",31,"W"
"1112",272,4,"Maryland",21,"L"
"273",273,4,"Western Kentucky",42,"W"
"1113",273,4,"Southern Mississippi",17,"L"
"274",274,4,"Western Michigan",30,"W"
"1114",274,4,"Connecticut",24,"L"
"275",275,4,"Wisconsin",37,"W"
"1115",275,4,"Texas-El Paso",26,"L"
"276",276,4,"Wyoming",40,"W"
"1116",276,4,"Idaho",37,"L"
"277",277,5,"Washington",17,"W"
"1117",277,5,"Stanford",13,"L"
"278",278,5,"Brigham Young",47,"W"
"1118",278,5,"Hawaii",0,"L"
"279",279,5,"Air Force",42,"W"
"1119",279,5,"Colorado State",21,"L"
"280",280,5,"Alabama",33,"W"
"1120",280,5,"Mississippi",14,"L"
"281",281,5,"Arizona State",27,"W"
"1121",281,5,"California",17,"L"
"282",282,5,"Boise State",32,"W"
"1122",282,5,"New Mexico",29,"L"
"283",283,5,"Bowling Green State",48,"W"
"1123",283,5,"Rhode Island",8,"L"
"284",284,5,"Cincinnati",27,"W"
"1124",284,5,"Virginia Tech",24,"L"
"285",285,5,"Clemson",45,"W"
"1125",285,5,"Boston College",31,"L"
"286",286,5,"Connecticut",24,"W"
"1126",286,5,"Buffalo",17,"L"
"287",287,5,"Duke",34,"W"
"1127",287,5,"Wake Forest",27,"L"
"288",288,5,"East Carolina",28,"W"
"1128",288,5,"Texas-El Paso",18,"L"
"289",289,5,"Florida State",30,"W"
"1129",289,5,"South Florida",17,"L"
"290",290,5,"Fresno State",52,"W"
"1130",290,5,"San Diego State",40,"L"
"291",291,5,"Georgia",51,"W"
"1131",291,5,"Tennessee",44,"L"
"292",292,5,"Houston",35,"W"
"1132",292,5,"Rice",14,"L"
"293",293,5,"Iowa",31,"W"
"1133",293,5,"Minnesota",13,"L"
"294",294,5,"Kent State",45,"W"
"1134",294,5,"Ball State",43,"L"
"295",295,5,"Louisiana State",38,"W"
"1135",295,5,"Towson",22,"L"
"296",296,5,"Louisiana Tech",44,"W"
"1136",296,5,"Virginia",38,"L"
"297",297,5,"Louisiana-Lafayette",48,"W"
"1137",297,5,"Florida International",20,"L"
"298",298,5,"Louisiana-Monroe",63,"W"
"1138",298,5,"Tulane",10,"L"
"299",299,5,"Louisville",21,"W"
"1139",299,5,"Southern Mississippi",17,"L"
"300",300,5,"Miami FL",44,"W"
"1140",300,5,"North Carolina State",37,"L"
"301",301,5,"Miami OH",56,"W"
"1141",301,5,"Akron",49,"L"
"302",302,5,"Middle Tennessee State",49,"W"
"1142",302,5,"Georgia Tech",28,"L"
"303",303,5,"Missouri",21,"W"
"1143",303,5,"Central Florida",16,"L"
"304",304,5,"Nebraska",30,"W"
"1144",304,5,"Wisconsin",27,"L"
"305",305,5,"Nevada",34,"W"
"1145",305,5,"Texas State",21,"L"
"306",306,5,"North Carolina",66,"W"
"1146",306,5,"Idaho",0,"L"
"307",307,5,"North Texas",20,"W"
"1147",307,5,"Florida Atlantic",14,"L"
"308",308,5,"Northern Illinois",55,"W"
"1148",308,5,"Central Michigan",24,"L"
"309",309,5,"Northwestern",44,"W"
"1149",309,5,"Indiana",29,"L"
"310",310,5,"Ohio",37,"W"
"1150",310,5,"Massachusetts",34,"L"
"311",311,5,"Ohio State",17,"W"
"1151",311,5,"Michigan State",16,"L"
"312",312,5,"Oregon",51,"W"
"1152",312,5,"Washington State",26,"L"
"313",313,5,"Oregon State",38,"W"
"1153",313,5,"Arizona",35,"L"
"314",314,5,"Penn State",35,"W"
"1154",314,5,"Illinois",7,"L"
"315",315,5,"Purdue",51,"W"
"1155",315,5,"Marshall",41,"L"
"316",316,5,"San Jose State",12,"W"
"1156",316,5,"Navy",0,"L"
"317",317,5,"South Carolina",38,"W"
"1157",317,5,"Kentucky",17,"L"
"318",318,5,"Stony Brook",23,"W"
"1158",318,5,"Army",3,"L"
"319",319,5,"Texas",41,"W"
"1159",319,5,"Oklahoma State",36,"L"
"320",320,5,"Texas A&M",58,"W"
"1160",320,5,"Arkansas",10,"L"
"321",321,5,"Texas Christian",24,"W"
"1161",321,5,"Southern Methodist",16,"L"
"322",322,5,"Texas Tech",24,"W"
"1162",322,5,"Iowa State",13,"L"
"323",323,5,"Texas-San Antonio",35,"W"
"1163",323,5,"New Mexico State",14,"L"
"324",324,5,"Toledo",37,"W"
"1164",324,5,"Western Michigan",17,"L"
"325",325,5,"Troy",31,"W"
"1165",325,5,"South Alabama",10,"L"
"326",326,5,"Tulsa",49,"W"
"1166",326,5,"Alabama-Birmingham",42,"L"
"327",327,5,"UCLA",42,"W"
"1167",327,5,"Colorado",14,"L"
"328",328,5,"Utah State",35,"W"
"1168",328,5,"Nevada-Las Vegas",13,"L"
"329",329,5,"West Virginia",70,"W"
"1169",329,5,"Baylor",63,"L"
"330",330,5,"Western Kentucky",26,"W"
"1170",330,5,"Arkansas State",13,"L"
"331",331,6,"Arkansas State",34,"W"
"1171",331,6,"Florida International",20,"L"
"332",332,6,"Central Florida",40,"W"
"1172",332,6,"East Carolina",20,"L"
"333",333,6,"Southern California",38,"W"
"1173",333,6,"Utah",28,"L"
"334",334,6,"Brigham Young",6,"W"
"1174",334,6,"Utah State",3,"L"
"335",335,6,"Syracuse",14,"W"
"1175",335,6,"Pittsburgh",13,"L"
"336",336,6,"Alabama-Birmingham",52,"W"
"1176",336,6,"Southeastern Louisiana",3,"L"
"337",337,6,"Arkansas",24,"W"
"1177",337,6,"Auburn",7,"L"
"338",338,6,"Army",34,"W"
"1178",338,6,"Boston College",31,"L"
"339",339,6,"Boise State",40,"W"
"1179",339,6,"Southern Mississippi",14,"L"
"340",340,6,"Bowling Green State",24,"W"
"1180",340,6,"Akron",10,"L"
"341",341,6,"California",43,"W"
"1181",341,6,"UCLA",17,"L"
"342",342,6,"Cincinnati",52,"W"
